Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,79.06,5.7,154.04,-74.74,10.4,37.06,-31.06,82.18,60.46,-14.28,18.34,-5.14,2.86,-15.9,142.2,-62.04,-1.28,9.06,-0.03,0.07,0.96,-1.8,-5.8,-6.1,-51.6,-33.8,101.1,-52.02,-7.62,131.98,-1.92,71.4,106.18,-14.6,1.74,68.08,19.42,40.92,187.6,-77.66,-14.56,8.36,0.08,0.04,0.99,3.4,-5.8,-5.8,0,0,0,0,0,0
0.02,0,83.06,4.7,155.04,-72.74,11.4,-0.94,-32.06,80.18,61.46,-13.28,18.34,-38.14,1.86,-15.9,144.2,-63.04,-1.28,13.06,-0.03,0.07,0.96,-1.9,-5.8,-5.9,-49.6,-31.8,99.1,-50.02,-9.62,141.98,2.08,72.4,112.18,-16.6,4.74,49.08,17.42,42.92,185.6,-74.66,-11.56,13.36,0.07,0.04,0.98,3.5,-5.5,-5.9,0,0,0,0,0,0
0.04,0,81.06,3.7,156.04,-73.74,10.4,20.06,-28.06,81.18,56.46,-11.28,19.34,-20.14,5.86,-15.9,144.2,-64.04,-2.28,16.06,-0.03,0.08,0.96,-1.7,-6.1,-5.9,-51.6,-36.8,100.1,-51.02,-10.62,111.98,-2.92,74.4,114.18,-17.6,3.74,37.08,18.42,40.92,183.6,-76.66,-12.56,9.36,0.07,0.04,0.99,3.5,-5.7,-5.7,0,0,0,0,0,0
0.06,0,76.06,5.7,156.04,-74.74,10.4,24.06,-28.06,84.18,59.46,-13.28,16.34,-43.14,1.86,-15.9,142.2,-63.04,-1.28,8.06,-0.02,0.07,0.96,-1.7,-5.9,-6.3,-49.6,-29.8,99.1,-50.02,-9.62,141.98,1.08,75.4,113.18,-17.6,3.74,41.08,16.42,40.92,178.6,-75.66,-11.56,2.36,0.07,0.04,0.98,3.6,-5.9,-6.1,0,0,0,0,0,0
0.08,0,77.06,9.7,153.04,-74.74,10.4,34.06,-33.06,79.18,63.46,-12.28,18.34,-15.14,2.86,-16.9,143.2,-64.04,-2.28,14.06,-0.03,0.08,0.96,-1.8,-6,-6.1,-51.6,-27.8,104.1,-55.02,-5.62,128.98,-4.92,72.4,111.18,-16.6,3.74,49.08,17.42,41.92,173.6,-71.66,-12.56,4.36,0.07,0.05,0.99,3.7,-5.9,-5.9,0,0,0,0,0,0
0.1,0,81.06,7.7,156.04,-74.74,10.4,27.06,-33.06,80.18,59.46,-14.28,19.34,-0.14,1.86,-15.9,143.2,-64.04,-2.28,9.06,-0.03,0.08,0.96,-2,-6.3,-6.2,-49.6,-30.8,98.1,-51.02,-7.62,122.98,3.08,71.4,107.18,-17.6,2.74,59.08,16.42,38.92,167.6,-72.66,-12.56,9.36,0.07,0.04,0.98,3.5,-6,-5.9,0,0,0,0,0,0
0.12,0,80.06,9.7,154.04,-74.74,11.4,39.06,-33.06,81.18,57.46,-12.28,20.34,-10.14,2.86,-15.9,147.2,-64.04,-1.28,15.06,-0.03,0.08,0.96,-2.1,-6.3,-6.3,-46.6,-31.8,99.1,-50.02,-11.62,125.98,-1.92,77.4,113.18,-15.6,3.74,45.08,17.42,39.92,166.6,-70.66,-12.56,7.36,0.07,0.04,0.99,3.2,-5.9,-5.6,0,0,0,0,0,0
0.14,0,83.06,4.7,155.04,-73.74,11.4,50.06,-31.06,75.18,63.46,-13.28,16.34,-40.14,3.86,-17.9,149.2,-66.04,-2.28,16.06,-0.03,0.08,0.96,-2.1,-5.9,-6.1,-49.6,-34.8,97.1,-49.02,-10.62,139.98,-1.92,76.4,113.18,-16.6,3.74,34.08,16.42,39.92,168.6,-72.66,-10.56,3.36,0.08,0.04,0.98,3.4,-5.9,-5.9,0,0,0,0,0,0
0.16,0,77.06,8.7,156.04,-75.74,9.4,54.06,-30.06,79.18,59.46,-12.28,18.34,-33.14,1.86,-18.9,155.2,-69.04,-1.28,13.06,-0.03,0.07,0.96,-2,-6.1,-6.2,-49.6,-28.8,99.1,-50.02,-8.62,143.98,0.08,77.4,111.18,-16.6,3.74,59.08,18.42,38.92,168.6,-73.66,-13.56,5.36,0.07,0.04,0.98,3.3,-5.9,-6,0,0,0,0,0,0
0.18,0,79.06,7.7,156.04,-74.74,10.4,41.06,-33.06,76.18,59.46,-13.28,19.34,-34.14,3.86,-16.9,159.2,-69.04,-3.28,15.06,-0.03,0.07,0.96,-1.9,-6.4,-6.1,-52.6,-29.8,102.1,-52.02,-5.62,145.98,-4.92,77.4,111.18,-14.6,4.74,53.08,18.42,41.92,168.6,-69.66,-12.56,8.36,0.07,0.04,0.99,3.2,-5.7,-6.2,0,0,0,0,0,0
