Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,57.02,45.4,115.44,-38.4,4.72,2.5,10.78,41.74,103.7,-36.48,-14.74,-22.66,49.3,-58.88,541.58,-88.7,-25.12,142.02,-0.09,0.06,1.01,0.5,-4.5,0.7,-4.22,5.88,41.42,-5.54,1.88,17.22,-10.1,45.48,-47.34,9.18,62.64,63.82,85.7,-47.9,208.96,-74.58,-18.3,-49.62,0.12,0.05,1.01,-0.5,-4.5,-0.5,0,0,0,-0.281,0.01416,0.05319
0.02,0,51.02,44.4,115.44,-36.4,6.72,0.5,10.78,41.74,98.7,-35.48,-14.74,-29.66,51.3,-56.88,530.58,-87.7,-28.12,143.02,-0.09,0.06,1,0.7,-4.2,0.7,1.78,10.88,40.42,-4.54,1.88,10.22,-15.1,41.48,-53.34,11.18,63.64,97.82,82.7,-47.9,236.96,-82.58,-12.3,-44.62,0.11,0.04,1,-0.7,-3.5,0,0,0,0,-0.281,0.01416,0.05319
0.04,0,53.02,44.4,116.44,-36.4,4.72,-28.5,10.78,43.74,99.7,-36.48,-13.74,-20.66,47.3,-58.88,515.58,-88.7,-24.12,138.02,-0.09,0.06,1.01,0.8,-3.8,0.7,-1.22,9.88,41.42,-5.54,1.88,8.22,-14.1,39.48,-47.34,8.18,62.64,85.82,84.7,-48.9,262.96,-88.58,-9.3,-33.62,0.11,0.04,1,0.2,-2.4,0.7,0,0,0,-0.281,0.01416,0.05319
0.06,0,56.02,44.4,114.44,-39.4,4.72,-6.5,12.78,38.74,100.7,-34.48,-14.74,1.34,47.3,-56.88,491.58,-86.7,-27.12,126.02,-0.09,0.06,1.01,0.9,-3.6,0.7,3.78,5.88,41.42,-3.54,-1.12,8.22,-10.1,43.48,-51.34,10.18,61.64,83.82,92.7,-52.9,289.96,-98.58,-8.3,-23.62,0.11,0.04,1,0.1,-1.7,1.3,0,0,0,-0.281,0.01416,0.05319
0.08,0,56.02,43.4,115.44,-37.4,1.72,-11.5,6.78,42.74,96.7,-35.48,-12.74,4.34,44.3,-56.88,470.58,-86.7,-25.12,123.02,-0.09,0.06,1,0.9,-3.5,0.8,-2.22,4.88,41.42,-6.54,2.88,14.22,-3.1,48.48,-52.34,12.18,59.64,82.82,99.7,-53.9,323.96,-106.58,-3.3,-15.62,0.1,0.04,1.01,-0.1,-1.7,1.2,0,0,0,-0.281,0.01416,0.05319
0.1,0,54.02,44.4,112.44,-36.4,4.72,17.5,10.78,42.74,97.7,-34.48,-12.74,-37.66,44.3,-57.88,451.58,-87.7,-24.12,124.02,-0.09,0.06,1,0.9,-3.5,0.8,-3.22,4.88,42.42,-6.54,1.88,3.22,-1.1,46.48,-58.34,12.18,59.64,75.82,109.7,-54.9,351.96,-113.58,-3.3,0.38,0.1,0.04,1.01,0.2,-2.4,0.9,0,0,0,-0.281,0.01416,0.05319
0.12,0,51.02,42.4,110.44,-35.4,3.72,-9.5,8.78,37.74,94.7,-34.48,-13.74,-30.66,41.3,-53.88,436.58,-82.7,-23.12,111.02,-0.09,0.06,1,0.7,-3.6,0.9,-2.22,2.88,44.42,-10.54,3.88,11.22,2.9,45.48,-61.34,13.18,59.64,69.82,112.7,-56.9,371.96,-118.58,-1.3,-4.62,0.1,0.03,1,0.7,-3.6,0.5,0,0,0,-0.281,0.01416,0.05319
0.14,0,52.02,47.4,110.44,-37.4,3.72,-24.5,11.78,40.74,97.7,-33.48,-13.74,-29.66,42.3,-52.88,425.58,-83.7,-24.12,106.02,-0.09,0.06,1,0.6,-3.6,0.9,-1.22,1.88,45.42,-9.54,0.88,-4.78,-6.1,45.48,-48.34,11.18,61.64,88.82,112.7,-58.9,374.96,-120.58,-2.3,0.38,0.1,0.03,1,0.5,-4,0.2,0,0,0,-0.281,0.01416,0.05319
0.16,0,48.02,41.4,110.44,-37.4,3.72,-28.5,8.78,41.74,95.7,-34.48,-11.74,-20.66,43.3,-50.88,416.58,-81.7,-25.12,103.02,-0.09,0.06,1,0.7,-3.8,0.9,-4.22,0.88,49.42,-9.54,1.88,16.22,-5.1,49.48,-50.34,9.18,65.64,122.82,114.7,-57.9,365.96,-116.58,-6.3,-8.62,0.11,0.04,1.01,0.2,-3.2,0.2,0,0,0,-0.281,0.01416,0.05319
0.18,0,53.02,46.4,110.44,-36.4,3.72,6.5,12.78,36.74,92.7,-33.48,-12.74,-16.66,45.3,-49.88,408.58,-82.7,-24.12,98.02,-0.09,0.06,1,0.7,-3.8,0.9,-6.22,0.88,49.42,-13.54,2.88,20.22,1.9,55.48,-43.34,5.18,63.64,69.82,114.7,-60.9,352.96,-113.58,-8.3,-9.62,0.11,0.04,1.01,0.4,-2.3,0.4,0,0,0,-0.281,0.01416,0.05319
0.2,0,49.02,45.4,111.44,-35.4,5.72,1.5,10.78,42.74,94.7,-31.48,-11.74,-37.66,42.3,-49.88,395.58,-82.7,-21.12,100.02,-0.09,0.06,1,0.8,-3.7,0.9,-11.22,-5.12,51.42,-15.54,5.88,47.22,-1.1,56.48,-43.34,8.18,66.64,103.82,114.7,-63.9,347.96,-114.58,-6.3,-7.62,0.1,0.04,1.01,0.4,-1.6,0.4,0,0,0,-0.281,0.01416,0.05319
