Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,8.26,42.78,195.3,-88.06,14.74,95.36,2.98,57.56,152.36,-52.48,-24.14,-20.98,30.28,-15.72,114.74,-49.16,15.06,27.36,0.01,0.06,0.98,4.69,-4.69,-4.97,11.26,9.8,7.56,-11.76,0.18,-39.22,11.32,-36.08,-6.28,-31.8,3.94,49.4,-17.62,-4.72,-10.18,-3.74,4.18,-17.1,0.19,0.45,1.06,-87.64,-17.57,78.19,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.02,11.26,47.78,202.3,-92.06,14.74,96.36,5.98,61.56,160.36,-58.48,-23.14,-29.98,30.28,-11.72,110.74,-47.16,16.06,20.36,0.01,0.06,0.99,4.97,-4.55,-5.25,11.26,11.8,5.56,-11.76,-3.82,-27.22,10.32,-38.08,-7.28,-33.8,3.94,16.4,-19.62,-2.72,-13.18,-1.74,8.18,-19.1,0.1,0.75,1.06,-77.91,-23.59,92.4,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.04,14.26,60.78,210.3,-94.06,15.74,83.36,6.98,61.56,168.36,-56.48,-24.14,-18.98,32.28,-8.72,105.74,-45.16,15.06,18.36,0.01,0.06,0.99,5.32,-4.69,-5.04,13.26,9.8,9.56,-9.76,-0.82,-34.22,11.32,-31.08,-6.28,-32.8,3.94,17.4,-18.62,-3.72,-13.18,-4.74,7.18,-19.1,0.02,0.99,1.02,-59.57,-19.95,91.56,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.06,14.26,55.78,222.3,-99.06,15.74,91.36,14.98,65.56,172.36,-65.48,-30.14,-5.98,34.28,-8.72,99.74,-44.16,12.06,19.36,0.01,0.06,0.99,5.46,-4.41,-5.04,12.26,3.8,4.56,-15.76,-1.82,-51.22,9.32,-33.08,-2.28,-34.8,5.94,41.4,-19.62,-1.72,-13.18,-1.74,9.18,-11.1,-0.05,1.02,1.02,-43.33,-15.19,86.24,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.08,8.26,62.78,226.3,-100.06,17.74,104.36,12.98,68.56,181.36,-64.48,-28.14,-32.98,33.28,-4.72,92.74,-43.16,12.06,10.36,0.01,0.06,0.98,5.46,-4.34,-4.97,14.26,9.8,7.56,-11.76,-0.82,-44.22,15.32,-35.08,-5.28,-33.8,3.94,29.4,-18.62,-2.72,-13.18,-2.74,6.18,-14.1,-0.07,0.95,0.97,-32.27,-7,75.95,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.1,10.26,54.78,234.3,-105.06,19.74,105.36,16.98,65.56,190.36,-67.48,-30.14,-26.98,35.28,-2.72,82.74,-41.16,13.06,13.36,0,0.06,0.99,6.3,-4.2,-4.69,9.26,5.8,9.56,-11.76,-1.82,-42.22,11.32,-31.08,-6.28,-34.8,3.94,24.4,-16.62,-2.72,-13.18,-2.74,6.18,-16.1,0.08,1,0.88,-15.33,-6.51,53.69,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.12,13.26,71.78,243.3,-110.06,17.74,87.36,20.98,68.56,198.36,-76.48,-31.14,-14.98,34.28,1.28,71.74,-37.16,10.06,4.36,0.01,0.06,0.99,7.35,-4.34,-4.76,13.26,9.8,6.56,-12.76,0.18,-38.22,9.32,-29.08,-10.28,-36.8,3.94,36.4,-15.62,-1.72,-13.18,-2.74,5.18,-17.1,-0.48,1.79,2.51,24.99,1.26,26.6,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.14,14.26,74.78,251.3,-110.06,17.74,101.36,20.98,65.56,209.36,-80.48,-33.14,-2.98,37.28,6.28,55.74,-30.16,5.06,8.36,0,0.07,0.99,7.98,-5.11,-4.69,14.26,12.8,7.56,-10.76,1.18,-51.22,3.32,-26.08,-7.28,-34.8,4.94,42.4,-32.62,-6.72,-1.18,-7.74,8.18,-7.1,0.12,0.4,0.94,68.81,9.24,29.12,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.16,11.26,79.78,258.3,-116.06,20.74,90.36,20.98,68.56,219.36,-81.48,-33.14,-24.98,35.28,10.28,40.74,-24.16,4.06,4.36,0.01,0.06,0.99,8.68,-5.25,-4.62,15.26,5.8,6.56,-11.76,-4.82,-57.22,5.32,-37.08,-4.28,-32.8,4.94,19.4,-40.62,-0.72,24.82,-11.74,10.18,-5.1,-0.4,-0.19,1.24,73.57,54.04,10.01,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.18,15.26,88.78,266.3,-114.06,17.74,108.36,18.98,71.56,226.36,-80.48,-31.14,-26.98,31.28,17.28,27.74,-16.16,1.06,-5.64,0,0.06,1.01,9.59,-6.16,-4.41,12.26,9.8,5.56,-10.76,-2.82,-33.22,3.32,-26.08,1.72,-33.8,6.94,31.4,-48.62,-20.72,97.82,-28.74,19.18,8.9,-0.02,0.14,1.22,38.5,43.4,-12.95,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
0.2,14.26,89.78,272.3,-116.06,23.74,125.36,12.98,66.56,228.36,-82.48,-33.14,-14.98,30.28,23.28,10.74,-9.16,0.06,-9.64,0,0.07,1.01,11.34,-6.23,-4.2,19.26,16.8,9.56,-11.76,0.18,-43.22,0.32,-33.08,6.72,-36.8,8.94,20.4,-49.62,-42.72,150.82,-40.74,22.18,18.9,0.02,0.08,1.04,9.1,-1.82,0.28,0.00451,-0.02295,-0.03965,0.02869,-0.08948,0.00764
