Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0.26,26.78,90.3,-52.06,2.74,61.36,29.98,34.56,107.36,-38.48,-18.14,-21.98,39.28,-31.72,198.74,-56.16,30.06,49.36,0.02,0.05,0.99,2.59,-7.7,-5.6,9.26,16.8,101.56,-74.76,7.18,-54.22,13.32,-2.08,42.72,-66.8,3.94,26.4,-15.62,-1.72,-21.18,1.26,5.18,-22.1,-0.03,0.09,1.03,-34.23,7.63,-15.61,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.02,3.26,22.78,86.3,-50.06,2.74,53.36,27.98,26.56,99.36,-42.48,-19.14,-17.98,40.28,-30.72,194.74,-53.16,29.06,43.36,0.02,0.04,0.99,2.52,-7.56,-5.39,9.26,4.8,107.56,-79.76,5.18,-56.22,14.32,-25.08,45.72,-73.8,3.94,34.4,-12.62,-3.72,-23.18,-0.74,2.18,-25.1,-0.03,0.07,1.15,-25.06,-1.75,-7.98,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.04,4.26,24.78,80.3,-47.06,1.74,44.36,24.98,22.56,94.36,-38.48,-16.14,-5.98,40.28,-30.72,194.74,-52.16,29.06,44.36,0.01,0.04,0.99,2.45,-7.49,-5.6,13.26,3.8,107.56,-81.76,4.18,-57.22,4.32,-33.08,42.72,-74.8,6.94,34.4,-27.62,-4.72,-10.18,-8.74,3.18,-21.1,0.01,0.09,1.01,-11.13,-5.53,-2.59,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.06,1.26,22.78,77.3,-45.06,4.74,57.36,22.98,20.56,87.36,-36.48,-16.14,-33.98,41.28,-33.72,190.74,-53.16,29.06,43.36,0.01,0.05,0.99,2.52,-7.63,-5.39,16.26,2.8,101.56,-79.76,3.18,-63.22,1.32,-33.08,43.72,-75.8,4.94,17.4,-26.62,-7.72,7.82,-12.74,2.18,-21.1,0.03,0.08,1,-10.01,-9.1,-0.91,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.08,2.26,16.78,72.3,-43.06,3.74,50.36,24.98,22.56,82.36,-30.48,-13.14,-9.98,42.28,-33.72,187.74,-53.16,29.06,42.36,0.01,0.05,0.99,2.52,-7.49,-5.46,10.26,-2.2,93.56,-75.76,5.18,-61.22,-2.68,-31.08,57.72,-73.8,8.94,35.4,-25.62,-13.72,24.82,-17.74,4.18,-14.1,0.04,0.08,1,-7.49,-7,-1.47,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.1,2.26,16.78,66.3,-37.06,3.74,44.36,25.98,20.56,76.36,-27.48,-14.14,-27.98,43.28,-33.72,182.74,-50.16,26.06,38.36,0.01,0.05,0.99,3.01,-7.35,-5.53,12.26,-1.2,85.56,-71.76,6.18,-55.22,-8.68,-36.08,54.72,-75.8,6.94,9.4,-16.62,-19.72,44.82,-22.74,2.18,-10.1,0.04,0.07,0.99,-5.53,-6.37,-1.75,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.12,0.26,14.78,65.3,-33.06,4.74,58.36,28.98,16.56,72.36,-24.48,-11.14,-30.98,41.28,-34.72,171.74,-49.16,26.06,39.36,0.02,0.04,0.98,3.01,-7.21,-5.74,6.26,-4.2,79.56,-65.76,8.18,-61.22,-12.68,-31.08,55.72,-75.8,9.94,29.4,-19.62,-26.72,61.82,-28.74,5.18,-13.1,0.04,0.08,0.98,-3.92,-5.95,-2.38,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.14,2.26,17.78,60.3,-33.06,5.74,62.36,27.98,17.56,68.36,-23.48,-12.14,-28.98,41.28,-34.72,160.74,-49.16,26.06,35.36,0.02,0.05,0.99,3.57,-7.07,-5.6,9.26,0.8,80.56,-66.76,8.18,-58.22,-12.68,-34.08,51.72,-79.8,8.94,18.4,-20.62,-28.72,73.82,-30.74,7.18,-1.1,0.04,0.08,0.98,-2.24,-6.02,-2.45,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.16,1.26,15.78,58.3,-34.06,4.74,55.36,21.98,12.56,64.36,-23.48,-10.14,-8.98,41.28,-30.72,147.74,-46.16,23.06,25.36,0.01,0.05,0.98,3.22,-7.07,-5.46,9.26,-2.2,80.56,-65.76,10.18,-70.22,-13.68,-31.08,62.72,-81.8,11.94,10.4,-20.62,-32.72,80.82,-35.74,8.18,-3.1,0.04,0.08,0.98,-1.75,-5.67,-2.31,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
0.18,0.26,14.78,57.3,-32.06,7.74,70.36,23.98,12.56,60.36,-24.48,-13.14,-24.98,38.28,-29.72,137.74,-43.16,23.06,22.36,0.02,0.04,0.98,3.29,-7.28,-5.46,7.26,1.8,77.56,-65.76,8.18,-47.22,-18.68,-30.08,67.72,-84.8,10.94,9.4,-20.62,-34.72,91.82,-36.74,10.18,3.9,0.04,0.08,0.97,-1.68,-5.67,-2.31,-0.1366,-0.01047,-0.03454,-0.19213,-0.17038,0.01005
